链,A,B,C,A-B类型,B-C类型,"cos(v1,v2)",夹角(°),支持文献1(DOI),支持文献2(DOI)
1,SmFeAsO,SmFeAsO1-xFx,FeSe-STO_mono,R4,R8,-0.848,148.0,10.1038/nature07045,10.1038/nmat4153
2,SmFeAsO,SmFeAsO1-xFx,FeSe-STO_mono,R4,R8,-0.848,148.0,10.1088/0256-307X/25/6/080,10.1038/nmat4153
3,LaFeAsO,SmFeAsO,SmFeAsO1-xFx,R5,R4,+0.000,90.0,10.1209/0295-5075/83/67006,10.1038/nature07045
4,LaFeAsO,SmFeAsO,SmFeAsO1-xFx,R5,R4,+0.000,90.0,10.1209/0295-5075/83/67006,10.1088/0256-307X/25/6/080
5,LaFeAsO,SmFeAsO,GdFeAsO,R5,R9,-0.500,120.0,10.1209/0295-5075/83/67006,10.1209/0295-5075/83/67006
6,LaFeAsO,SmFeAsO,SmFeAsO1-xFx,R9,R4,+0.000,90.0,10.1209/0295-5075/83/67006,10.1038/nature07045
7,LaFeAsO,SmFeAsO,SmFeAsO1-xFx,R9,R4,+0.000,90.0,10.1209/0295-5075/83/67006,10.1088/0256-307X/25/6/080
8,BaFe2As2,SrFe2As2,SrFe1.8Co0.2As2,R9,R2,+0.000,90.0,10.1103/PhysRevB.82.024510,10.1103/PhysRevB.82.024510
9,BaFe2As2,SrFe2As2,SrFe1.8Mn0.2As2,R9,R2,+0.000,90.0,10.1103/PhysRevB.82.024510,10.1103/PhysRevB.82.024510
10,BaFe2As2,SrFe2As2,SrFe2-xRuxAs2,R9,R2,+0.000,90.0,10.1103/PhysRevB.82.024510,10.1016/j.physc.2009.06.009
11,BaFe2As2,SrFe2As2,SrFe2-xPtxAs2,R9,R2,+0.000,90.0,10.1103/PhysRevB.82.024510,10.1016/j.physc.2011.05.005
12,FeSe,FeSe0.5Te0.5,FeSe0.5Te0.5_P,R3,R7,-0.051,92.9,10.1209/0295-5075/84/37002,10.1209/0295-5075/84/37002
13,FeTe,FeSe0.5Te0.5,FeSe0.5Te0.5_P,R3,R7,-0.108,96.2,10.1209/0295-5075/84/37002,10.1209/0295-5075/84/37002
14,LaFeAsO,GdFeAsO,GdFeAsO1-xFx,R9,R4,+0.000,90.0,10.1209/0295-5075/83/67006,10.1209/0295-5075/83/67006
15,LaFeAsO,GdFeAsO,Gd1-xThxFeAsO,R9,R1,-0.657,131.0,10.1209/0295-5075/83/67006,10.1209/0295-5075/83/67006
16,SmFeAsO,GdFeAsO,GdFeAsO1-xFx,R9,R4,+0.000,90.0,10.1209/0295-5075/83/67006,10.1209/0295-5075/83/67006
17,SmFeAsO,GdFeAsO,Gd1-xThxFeAsO,R9,R1,-0.657,131.0,10.1209/0295-5075/83/67006,10.1209/0295-5075/83/67006
18,FeSe,FeTe,FeSe0.5Te0.5,R9,R3,-0.707,135.0,10.1209/0295-5075/84/37002,10.1209/0295-5075/84/37002
