材料A,材料B,关系类型,关系类型定义,文献DOI,年份,证据强度,文献标题,证据说明
LaFeAsO,LaFeAsO1-xFx,R4,"氧位F掺杂 oxygen-site F doping (O→F, 1111系)",10.1103/PhysRevB.78.020512,2008,direct,"Ferromagnetic spin fluctuation in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mm","PRB78 abs: 'The F doped LaFeAsO, a recently discovered superconductor with the high Tc of 26 K'"
LaFeAsO,LaFeAsO1-xFx,R4,"氧位F掺杂 oxygen-site F doping (O→F, 1111系)",10.1021/ja800073m,2008,direct,Iron-Based Layered Superconductor La[O<sub>1-</sub><i><sub>x</sub></i>F<i><sub>x</sub></i>]FeAs (<i>x</i> = 0.,kamihara JACS 发现文(标题)
SmFeAsO,SmFeAsO1-xFx,R4,"氧位F掺杂 oxygen-site F doping (O→F, 1111系)",10.1038/nature07045,2008,direct,Superconductivity at 43 K in SmFeAsO1-xF x,Chen abs: 'bulk superconductivity in samarium-arsenide oxides SmFeAsO1-xFx... Tc as high as 43 K'
SmFeAsO,SmFeAsO1-xFx,R4,"氧位F掺杂 oxygen-site F doping (O→F, 1111系)",10.1088/0256-307X/25/6/080,2008,direct,"Superconductivity at 55 K in Iron-Based F-Doped Layered Quaternary Compound Sm[O
                    <sub>
   ",Ren CPL: 'Superconductivity at 55 K in Iron-Based F-Doped Layered Quaternary Compound Sm[O1-xFx]FeAs' (标题)
GdFeAsO,GdFeAsO1-xFx,R4,"氧位F掺杂 oxygen-site F doping (O→F, 1111系)",10.1209/0295-5075/83/67006,2008,negative,"Thorium-doping–induced superconductivity up to 56 K in Gd
                    <sub>1−x</sub>
                 ",wang EPL abs: 'F-doping in GdFeAsO is particularly difficult due to the lattice mismatch' (负样本:F掺杂困难)
GdFeAsO,Gd1-xThxFeAsO,R1,"阳离子位掺杂 cation-site doping (Ba→K, Gd→Th, Nd→Sr, Mg→Al)",10.1209/0295-5075/83/67006,2008,direct,"Thorium-doping–induced superconductivity up to 56 K in Gd
                    <sub>1−x</sub>
                 ",wang EPL abs: 'superconductivity with Tc as high as 56 K by the Th4+ substitution for Gd3+ in GdFeAsO'
LaFeAsO,SmFeAsO,R5,稀土位替换 rare-earth substitution (La→Sm/Ce/Nd/Pr/Gd),10.1209/0295-5075/83/67006,2008,secondary,"Thorium-doping–induced superconductivity up to 56 K in Gd
                    <sub>1−x</sub>
                 ","wang EPL abs: 'Tc pushed up... above 40 K by either applying pressure or replacing La with Sm[3], Ce[4], Nd[5] and Pr[6]'"
LaFeAsO,CeFeAsO,R5,稀土位替换 rare-earth substitution (La→Sm/Ce/Nd/Pr/Gd),10.1209/0295-5075/83/67006,2008,secondary,"Thorium-doping–induced superconductivity up to 56 K in Gd
                    <sub>1−x</sub>
                 ",同上 (Ce[4]引用)
LaFeAsO,NdFeAsO,R5,稀土位替换 rare-earth substitution (La→Sm/Ce/Nd/Pr/Gd),10.1209/0295-5075/83/67006,2008,secondary,"Thorium-doping–induced superconductivity up to 56 K in Gd
                    <sub>1−x</sub>
                 ",同上 (Nd[5]引用)
LaFeAsO,PrFeAsO,R5,稀土位替换 rare-earth substitution (La→Sm/Ce/Nd/Pr/Gd),10.1209/0295-5075/83/67006,2008,secondary,"Thorium-doping–induced superconductivity up to 56 K in Gd
                    <sub>1−x</sub>
                 ",同上 (Pr[6]引用)
BaFe2As2,Ba0.6K0.4Fe2As2,R1,"阳离子位掺杂 cation-site doping (Ba→K, Gd→Th, Nd→Sr, Mg→Al)",10.1103/PhysRevLett.101.107006,2008,direct,"Superconductivity at 38 K in the Iron Arsenide<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display",rotter abs: 'bulk superconductivity up to Tc=38K in (Ba1-xKx)Fe2As2... partial substitution of the barium site with potassium'
BaFe2As2,BaFe1.8Co0.2As2,R2,过渡金属Fe位取代掺杂 transition-metal-site doping (Fe→Co/Mn/Ni/Ru/Pt),10.1103/PhysRevLett.101.117004,2008,direct,"Superconductivity at 22 K in Co-Doped<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""",sefat abs: 'bulk superconductivity in BaFe1.8Co0.2As2... Tc=22K... first example of SC induced by electron doping'
BaFe2As2,BaFe2(As0.7P0.3)2,R3,"阴离子位等电子取代 anion isoelectronic substitution (Se↔Te, Se↔S, As↔P)",10.1103/PhysRevB.94.094504,2016,direct,"Spin excitations in optimally P-doped<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:m",ba122_p abs: 'optimally P-doped BaFe2(As0.7P0.3)2 superconductor (Tc=30K)... Replacing 30% As by smaller P to induce superconductivity'
SrFe2As2,SrFe1.8Co0.2As2,R2,过渡金属Fe位取代掺杂 transition-metal-site doping (Fe→Co/Mn/Ni/Ru/Pt),10.1103/PhysRevB.82.024510,2010,direct,"Electron-hole asymmetry in Co- and Mn-doped<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""i",sr122_co abs: 'SC phase appears only for Co (electron)-doping'
SrFe2As2,SrFe1.8Mn0.2As2,R2,过渡金属Fe位取代掺杂 transition-metal-site doping (Fe→Co/Mn/Ni/Ru/Pt),10.1103/PhysRevB.82.024510,2010,negative,"Electron-hole asymmetry in Co- and Mn-doped<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""i",sr122_co abs: 'Absence of the superconductivity by Mn-doping' (负样本)
SrFe2As2,SrFe2-xRuxAs2,R2,过渡金属Fe位取代掺杂 transition-metal-site doping (Fe→Co/Mn/Ni/Ru/Pt),10.1016/j.physc.2009.06.009,2009,direct,Superconductivity induced by doping Ru in SrFe2−xRuxAs2,Physica C 2009 标题: 'Superconductivity induced by doping Ru in SrFe2-xRuxAs2'
