实体A,实体B,扩展关系类型,扩展关系类型定义,MatKG关系标签,共现文献数,材料匹配依据,关系筛选依据,来源数据集,文献DOI,证据等级,强证据资格
122,Fe,MKG-STRUCTURE,MatKG 聚合共现中的结构/相标签相关弱关系；不等同于已核验的 R9,SPL-CHM,37,A:family:122,keyword:structure;tag:SPL,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
122,Iron,MKG-STRUCTURE,MatKG 聚合共现中的结构/相标签相关弱关系；不等同于已核验的 R9,SPL-CHM,31,A:family:122,keyword:structure;tag:SPL,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
122,Superconductivity,MKG-STRUCTURE,MatKG 聚合共现中的结构/相标签相关弱关系；不等同于已核验的 R9,SPL-PRO,35,A:family:122,keyword:structure;tag:SPL,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
122,Superconductor,MKG-STRUCTURE,MatKG 聚合共现中的结构/相标签相关弱关系；不等同于已核验的 R9,SPL-PRO,56,A:family:122,keyword:structure;tag:SPL,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
Annealed,MgB2,MKG-SYNTHESIS,MatKG 聚合共现中的合成/生长相关弱关系；不属于核心 R1-R9 强证据,SMT-CHM,56,B:core:MgB2,keyword:synthesis;tag:SMT,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
Annealing,MgB2,MKG-SYNTHESIS,MatKG 聚合共现中的合成/生长相关弱关系；不属于核心 R1-R9 强证据,SMT-CHM,74,B:core:MgB2,keyword:synthesis;tag:SMT,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
Annealing,YBa2Cu3O7,MKG-SYNTHESIS,MatKG 聚合共现中的合成/生长相关弱关系；不属于核心 R1-R9 强证据,SMT-CHM,37,B:core:YBa2Cu3O7,keyword:synthesis;tag:SMT,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
Annealing,YBa2Cu3O7-X,MKG-SYNTHESIS,MatKG 聚合共现中的合成/生长相关弱关系；不属于核心 R1-R9 强证据,SMT-CHM,38,B:family:cuprate-formula,keyword:synthesis;tag:SMT,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
BaFe2As2,Co-Doped,MKG-DOPING,MatKG 聚合共现中的掺杂相关弱关系；位点未知，不映射为 R1-R5,CHM-DSC,33,A:core:BaFe2As2,keyword:doping,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
BaFe2As2,Crystal,MKG-STRUCTURE,MatKG 聚合共现中的结构/相标签相关弱关系；不等同于已核验的 R9,CHM-DSC,34,A:core:BaFe2As2,keyword:structure,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
BaFe2As2,Crystal Structure,MKG-STRUCTURE,MatKG 聚合共现中的结构/相标签相关弱关系；不等同于已核验的 R9,CHM-PRO,30,A:core:BaFe2As2,keyword:structure,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
